"country","fatf","fin_secrecy","us_incsr","ti_cpi","wb_business_disclosure","wef_auditing_and_reporting_std","wef_security_exchange_reg","wb_fin_sector_reg","open_budget","wb_transpar_account_corruption","wef_instit_strength","rule_of_law","idea_political_disclosure","freedom_house","ML_TF","CORRUPTION_RISK","FIN_TRANSPAR_STD","PUBLIC_TRANSPAR_ACCOUNT","POLITICAL_LEGAL_RISK","OVERALL_SCORE"
"GABON*",NA,NA,NA,6.6,4,4.16666666666667,6.33333333333333,NA,NA,NA,4.68571428571429,NA,7.5,7.33333333333333,NA,6.6,5.07142857142857,7.5,6.00952380952381,5.9891156462585
"GAMBIA",6.94444444444445,NA,NA,7.2,8,4,5.16666666666667,5,NA,8,3.68571428571429,NA,7.5,8.32222222222222,6.94444444444445,7.2,5.0625,7.75,6.00396825396825,6.6809623015873
"GEORGIA",5,NA,NA,5.1,1,4.33333333333333,6.33333333333333,5,4.5,5,4.28571428571429,4,0,3.78888888888889,5,5.1,4.75,3.16666666666667,4.02486772486772,4.83207671957672
"GERMANY",4.69387755102041,9.52702702702703,10,2.2,5,2.5,3.66666666666667,NA,2.9,NA,2.42857142857143,NA,6.25,0.566666666666667,7.36910772625058,2.2,3.35714285714286,4.575,1.49761904761905,5.81712240301526
"GHANA",7.61904761904762,6.55405405405405,5,5.4,3,4.16666666666667,4,5,5,4,4.44285714285714,2.5,1.25,1.48888888888889,6.80650430650431,5.4,4.0625,3.41666666666667,2.81058201058201,5.88496523309023
"GREECE",6.59722222222222,NA,10,6,3,4.5,5.33333333333333,NA,NA,NA,5.01428571428571,NA,0,2.64444444444444,7.44791666666667,6,4.64285714285714,0,3.82936507936508,6.32904265873016
"GRENADA",7.14285714285714,5.74324324324324,5,NA,6,NA,NA,5,NA,4,NA,NA,7.5,1.35555555555556,6.27487377487378,NA,5.5,5.75,1.35555555555556,5.8432730349397
"GUATEMALA",4.42176870748299,6.95945945945946,10,7.1,7,3.83333333333333,5.16666666666667,NA,4.9,NA,5.21428571428571,4.7,6.25,4.77777777777778,6.25599304170733,7.1,4.85714285714286,5.575,4.8973544973545,6.02858463054892
"GUINEA**",7.84722222222222,NA,NA,7.6,4,6.5,8,7,NA,8,5.62857142857143,5.2,0,6.57777777777778,7.84722222222222,7.6,6.8125,4,5.8021164021164,7.37267526455026
"GUINEA-BISSAU",9.09090909090909,NA,10,8.1,4,NA,NA,7,NA,8,NA,NA,0,7.23333333333333,9.31818181818182,8.1,5.5,4,7.23333333333333,8.25348484848485
"GUYANA",7.75510204081633,NA,5,7.3,5,4.83333333333333,5.66666666666667,5,NA,7,4.8,NA,1.25,2.8,7.06632653061224,7.3,5.1875,4.125,3.8,6.49748724489796
"HAITI",8.125,NA,10,8.1,8,6.33333333333333,8.33333333333333,6,NA,7,6.07142857142857,6.2,3.75,5.55555555555556,8.59375,8.1,7.25,5.375,5.94232804232804,8.0493039021164
"HONDURAS",6.93877551020408,NA,5,7.4,10,4,5.66666666666667,5,4.7,6,5.64285714285714,4.2,3.75,5.46666666666667,6.45408163265306,7.4,5.5,4.81666666666667,5.1031746031746,6.25614512471655
"HONG KONG SAR, CHINA",4.21768707482993,9.86486486486486,10,2.5,0,1.5,1.66666666666667,NA,NA,NA,1.98571428571429,NA,NA,4.01111111111111,7.27926513640799,2.5,1.35714285714286,NA,2.9984126984127,5.61580463384975
